id,name,affiliation,homepage,scholarid,dblpid,subareas
f460,Rabia Tugce Yazicigil,Unknown,,,158/8054,Circuits & VLSI Design
f461,Krishnan Ravichandran,Unknown,,,153/9633,Circuits & VLSI Design
f462,Tai-Haur Kuo,Unknown,,,04/2171,Circuits & VLSI Design
f463,Min-Yu Huang,Unknown,,,22/5081,Circuits & VLSI Design
f464,Jun Yin,Unknown,,,58/5423-1,Circuits & VLSI Design
f465,Gaël Pillonnet,Unknown,,,21/9429,Circuits & VLSI Design
f466,James E. Jaussi,Unknown,,,50/10273,Circuits & VLSI Design
f467,Michael Choi,Unknown,,,20/10181-1,Circuits & VLSI Design
f468,Junhyun Chun,Unknown,,,216/3974,Circuits & VLSI Design
f469,Andreia Cathelin,Unknown,,,90/1241,Circuits & VLSI Design
f470,Patrick Reynaert,Unknown,,,26/3473,Circuits & VLSI Design
f471,Jan Craninckx,Unknown,,,48/1897,Circuits & VLSI Design
f472,Wenda Zhao,Unknown,,,166/7309-2,Circuits & VLSI Design
f473,Doohwan Jung,Unknown,,,203/6493,Circuits & VLSI Design
f474,Harish K. Krishnamurthy,Unknown,,,123/8918,Circuits & VLSI Design
f475,Payam Heydari,Unknown,,,41/5312,Circuits & VLSI Design
f476,Jason T. Stauth,Unknown,,,143/3939,Circuits & VLSI Design
f477,Yiyang Shu,Unknown,,,263/0771,Circuits & VLSI Design
f478,Huizhen Jenny Qian,Unknown,,,203/6514,Circuits & VLSI Design
f479,Bita Darvish Rouhani,Unknown,,,157/9224,EDA
f480,Takashi Sato,Unknown,,,48/4595-1,EDA
f481,Jongeun Lee,UNIST,,,64/5375,EDA
f482,Mircea Stan,Unknown,,,s/MirceaRStan,Computer Architecture
f483,Mark Po-Hung Lin,Unknown,,,71/7353,EDA
f484,Sudeep Pasricha,Colorado State University,,,68/2349,EDA
f485,Michael Pellauer,Unknown,,,22/3969,Computer Architecture
f486,Sharad Malik,Unknown,,,79/6934,EDA
f487,Peng Li,Unknown,,,83/6353-1,EDA
f488,Ankur Srivastava,Univ. of Maryland - College Park,,,83/1695,EDA
f489,Anant Nori,Unknown,,,221/2867,Computer Architecture
f490,Kwang-Ting Cheng,HKUST,,,c/KwangTingCheng,EDA
f491,Xin Xin,Unknown,,,35/1895-8,Computer Architecture
f492,Hao Zheng,Unknown,,,31/6916-5,EDA
f493,C. Thomas Gray,Unknown,,,49/2112,Circuits & VLSI Design
f494,Xiaochun Ye,Unknown,,,22/3129,EDA
f495,Dongrui Fan,Unknown,,,35/2456,EDA
f496,Yih-Lang Li,National Chiao Tung University,,,28/915,EDA
f497,Sri Parameswaran,University of Sydney,,,38/622,EDA
f498,Mahabubul Alam,Unknown,,,142/7359,EDA
f499,Meng Li,Unknown,,,70/1726-4,EDA
f500,Longxing Shi,Unknown,,,89/1700,EDA
f501,Zhiping Jia,Shandong University,,,99/6654,EDA
f502,Luca P. Carloni,Columbia University,,,68/2644,EDA
f503,Peiyan Dong,Unknown,,,254/1329,EDA
f504,Zhepeng Wang,Unknown,,,242/8456-1,EDA
f505,Jinho Lee,Seoul National University,,,62/757-1,EDA
f506,Priyanka Raina,Unknown,,,127/7770,EDA
f507,Zhuoran Song,Shanghai Jiao Tong University,,,220/4324,EDA
f508,Yu Jiang,Unknown,,,21/4633-1,EDA
f509,Rajiv V. Joshi,Unknown,,,42/5976,Circuits & VLSI Design
f510,Wei Shi,Unknown,,,44/4066-11,Circuits & VLSI Design
f511,Liu Liu,Unknown,,,74/7037-17,Computer Architecture
f512,Gushu Li,University of Pennsylvania,,,163/3591,Computer Architecture
f513,Bing Li,Unknown,,,13/2692-17,EDA
f514,Mostafa Mahmoud,Unknown,,,51/210,Computer Architecture
f515,Zidong Du,Unknown,,,44/11216,Computer Architecture
f516,Quan Chen,Unknown,,,40/3858-2,Computer Architecture
f517,Sagar Karandikar,Unknown,,,145/2275,Computer Architecture
f518,Farimah Farahmandi,Unknown,,,137/9159,EDA
f519,Ajay Joshi,Unknown,,,23/3290,Computer Architecture
f520,Geng Yuan,University of Georgia,,,205/3007,EDA
f521,Weifeng He,Unknown,,,90/8030,EDA
f522,Trevor E. Carlson,National University of Singapore,,,37/10441,EDA
f523,Ling Liang,Unknown,,,95/7436,Computer Architecture
f524,Ryan Kastner,Univ. of California - San Diego,,,15/3231,EDA
f525,Rui Hou,Unknown,,,79/3631-1,Computer Architecture
f526,Dan Meng,Unknown,,,01/2538-2,Computer Architecture
f527,Benjamin Tan,Unknown,,,195/3070,EDA
f528,Shaoshan Liu,Unknown,,,32/4500,EDA
f529,Bo Yu,Unknown,,,75/2868-14,EDA
f530,Chen Bai,Unknown,,,128/8459,EDA
f531,Weiwei Shan,Unknown,,,39/1305,Circuits & VLSI Design
f532,Jong-Hyeok Yoon,Unknown,,,149/1461,Circuits & VLSI Design
f533,Muhammad Rashedul Haq Rashed,University of Texas at Arlington,,,304/0626,EDA
f534,Naveen Verma,Unknown,,,90/2252,Circuits & VLSI Design
f535,Sihang Liu,Unknown,,,191/7789-1,Computer Architecture
f536,Samira Manabi Khan,University of Virginia,,,01/9032,Computer Architecture
f537,Amir Yazdanbakhsh,Unknown,,,44/8745,Computer Architecture
f538,Makoto Nagata,Unknown,,,95/2029,Circuits & VLSI Design
f539,Caroline Trippel,Unknown,,,162/9999,Computer Architecture
f540,Nandhini Chandramoorthy,Unknown,,,29/11469,EDA
f541,Karthik Swaminathan,Unknown,,,13/3711,EDA
f542,Lei Deng,Unknown,,,96/755-3,Computer Architecture
f543,Kenneth L. Shepard,Unknown,,,37/907,Circuits & VLSI Design
f544,Calvin Lin,University of Texas at Austin,,,65/1026,Computer Architecture
f545,Aamer Jaleel,Unknown,,,99/6904,Computer Architecture
f546,Xun Jian,Unknown,,,130/7707-2,Computer Architecture
f547,Murali Annavaram,University of Southern California,,,02/5812,Computer Architecture
f548,Yifan Yuan,Unknown,,,167/0634,Computer Architecture
f549,Pranav Gokhale,Unknown,,,207/1817,Computer Architecture
f550,Yubin Xia,Shanghai Jiao Tong University,,,01/615,Computer Architecture
f551,Dongmoon Min,Sungkyunkwan University,,,242/9233,Computer Architecture
f552,Ilkwon Byun,Unknown,,,242/9155,Computer Architecture
f553,Alexandros Daglis,Georgia Institute of Technology,,,142/3203,Computer Architecture
f554,Jawad Haj-Yahya,Unknown,,,218/1227,Computer Architecture
f555,Yuanchao Xu,Unknown,,,78/10373-1,Computer Architecture
f556,Mohammad Alian,Cornell University,,,181/8776,Computer Architecture
f557,Rahul Bera,Unknown,,,250/2580,Computer Architecture
f558,Yunong Shi,Unknown,,,236/5902,Computer Architecture
f559,Ataberk Olgun,Unknown,,,285/5355,Computer Architecture
f560,Gururaj Saileshwar,University of Toronto,,,196/6747,Computer Architecture
f561,Farhana Sheikh,Unknown,,,28/6610,Circuits & VLSI Design
f562,Man-Kay Law,Unknown,,,78/1488,Circuits & VLSI Design
f563,Thomas Toifl,Unknown,,,52/317,Circuits & VLSI Design
f564,Hyung-Min Lee,Unknown,,,75/7631,Circuits & VLSI Design
f565,Jonathan Chang,Unknown,,,58/4475,Circuits & VLSI Design
f566,Michael P. Flynn,Unknown,,,66/2655,Circuits & VLSI Design
f567,Roman Genov,Unknown,,,03/3535,Circuits & VLSI Design
f568,Jiawei Xu,Unknown,,,79/8798-1,Circuits & VLSI Design
f569,Chris Van Hoof,Unknown,,,57/1552,Circuits & VLSI Design
f570,Qiang Li,Unknown,,,72/872-21,Circuits & VLSI Design
f571,Yongsun Lee,Unknown,,,145/6705,Circuits & VLSI Design
f572,Mostafa Gamal Ahmed,Unknown,,,213/7060,Circuits & VLSI Design
f573,Taeho Seong,Unknown,,,150/9653,Circuits & VLSI Design
f574,Hongtao Xu,Unknown,,,99/1394,Circuits & VLSI Design
f575,Ali Niknejad,Univ. of California - Berkeley,,,20/4071,Circuits & VLSI Design
f576,Jae-Yeol Han,Unknown,,,27/2515,Circuits & VLSI Design
f577,Ji-Seon Paek,Unknown,,,90/7014,Circuits & VLSI Design
f578,Yao-Hong Liu,Unknown,,,27/1979,Circuits & VLSI Design
f579,Pieter Harpe,Unknown,,,11/2399,Circuits & VLSI Design
